MPC Date,tone_GT_entire,tone_GT,flair_fast_scores,flair_scores,blob_scores,bing_scores,gi_scores,mpqa_scores,nrc_scores,lm_scores,compound_scores,afinn_scores
20130523,4.040404040404041,8.080808080808081,-0.09090909090909091,-0.43636363636363634,0.02134789198742687,-0.3006134969325153,-0.32075471698113206,-0.10047846889952153,0.1757188498402556,-0.6090225563909775,0.06,13.0
20130320,16.50485436893204,12.62135922330097,-0.21739130434782608,-0.40869565217391307,0.040297852626989324,-0.18518518518518517,-0.13432835820895522,0.05263157894736842,0.16819571865443425,-0.4563106796116505,0.08,47.0
20130718,4.716981132075472,8.49056603773585,-0.30973451327433627,-0.6283185840707964,0.041869651374859713,-0.31746031746031744,-0.2,-0.05,0.2389937106918239,-0.6153846153846154,0.08,42.0
20130913,0.9615384615384616,-2.8846153846153846,-0.21495327102803738,-0.5514018691588785,0.019826791403972612,-0.2804878048780488,-0.23478260869565218,-0.07027027027027027,0.22713864306784662,-0.5590551181102362,0.06,7.0
20131121,-1.8181818181818181,3.6363636363636362,-0.43636363636363634,-0.509090909090909,0.029092233193356794,-0.14754098360655737,-0.23711340206185566,-0.029940119760479042,0.25274725274725274,-0.5368421052631579,0.09,52.0
20140129,10.679611650485437,10.679611650485437,-0.23214285714285715,-0.5535714285714286,0.043827958543662546,-0.16666666666666666,-0.22641509433962265,-0.05472636815920398,0.24916943521594684,-0.5826086956521739,0.12,65.0
20140327,9.090909090909092,5.454545454545454,-0.28695652173913044,-0.6173913043478261,0.007137445887445887,-0.25547445255474455,-0.06666666666666667,-0.01,0.308868501529052,-0.4528301886792453,0.08,45.0
20140522,-11.320754716981131,-11.320754716981131,-0.29310344827586204,-0.5,0.0326465196544984,-0.3181818181818182,-0.18095238095238095,-0.11702127659574468,0.2919254658385093,-0.6404494382022472,0.09,25.0
20140717,-8.108108108108109,-9.90990990990991,-0.4146341463414634,-0.6260162601626016,0.022672867976606295,-0.2,-0.1,-0.05365853658536585,0.2754491017964072,-0.5740740740740741,0.11,41.0
20140918,-4.201680672268908,-5.882352941176471,-0.2682926829268293,-0.5447154471544715,0.010379765816512813,-0.22448979591836735,-0.2857142857142857,-0.04,0.29014084507042254,-0.5221238938053098,0.08,23.0
20141120,-16.50485436893204,-14.563106796116505,-0.4392523364485981,-0.5327102803738317,0.007889339496482352,-0.1386861313868613,-0.19642857142857142,0.02857142857142857,0.24571428571428572,-0.4827586206896552,0.13,73.0
20150129,-27.884615384615383,-27.884615384615383,-0.4260869565217391,-0.40869565217391307,0.0038636363636363616,-0.152,-0.21495327102803738,-0.08421052631578947,0.19879518072289157,-0.49206349206349204,0.1,96.0
20150326,-7.216494845360825,-7.216494845360825,-0.3142857142857143,-0.5047619047619047,0.02262628886265251,-0.28695652173913044,-0.32142857142857145,-0.06382978723404255,0.24025974025974026,-0.6347826086956522,0.06,70.0
20150521,1.834862385321101,0.0,-0.3217391304347826,-0.6,0.0370213913071056,-0.4576271186440678,-0.3620689655172414,-0.09289617486338798,0.2672672672672673,-0.7241379310344828,0.06,35.0
20150723,7.407407407407407,5.555555555555555,-0.2545454545454545,-0.5636363636363636,0.03136040933892496,-0.30935251798561153,-0.26229508196721313,-0.046153846153846156,0.19741100323624594,-0.6261682242990654,0.05,-7.0
20150923,-27.083333333333332,-27.083333333333332,-0.36082474226804123,-0.5876288659793815,0.013921028466483024,-0.48484848484848486,-0.3786407766990291,-0.2391304347826087,0.14285714285714285,-0.8018018018018018,-0.01,-21.0
